Study Area,ID,Distinctiveness,Sex,P1S1,P1S2,P1S3,NeuterP1,P2S1,P2S2,P2S3,NeuterP2,P3S1,P3S2,P3S3,NeuterP3,P4S1,P4S2,P4S3,NeuterP4,P5S1,P5S2,P5S3,NeuterP5
UASA3,UA086,2,Female,0,0,0,,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,
UASA3,UA087,1,Unknown,0,0,0,,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA088,2,Male,0,0,0,,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,
UASA3,UA089,3,Female,0,0,0,,1,1,0,Yes,1,1,1,Yes,1,1,0,Yes,1,0,0,Yes
UASA3,UA090,2,Unknown,0,0,0,,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA091,2,Unknown,0,0,0,,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,
UASA3,UA092,2,Male,0,0,0,,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA093,1,Male,0,0,0,,0,1,0,Yes,0,0,0,,0,0,0,,0,0,0,
UASA3,UA094,2,Male,0,0,0,,0,1,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA095,3,Female,0,0,0,,0,1,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA096,3,Male,0,0,0,,0,0,1,No,0,0,0,,1,0,0,,1,1,0,Yes
UASA3,UA097,2,Female,0,0,0,,0,0,1,Yes,1,0,0,Yes,1,0,0,Yes,0,0,0,
UASA3,UA098,2,Male,0,0,0,,0,0,1,No,1,0,0,No,0,0,0,,0,0,0,
UASA3,UA099,2,Unknown,0,0,0,,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA100,2,Male,0,0,0,,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA101,1,Female,0,0,0,,0,0,1,Yes,1,1,1,Yes,1,0,0,Yes,0,0,0,
UASA3,UA120,1,Female,0,0,0,,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA3,UA121,2,Unknown,0,0,0,,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA3,UA122,2,Female,0,0,0,,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA3,UA123,2,Male,0,0,0,,0,0,0,,0,1,1,No,0,0,0,,0,0,0,
UASA3,UA124,2,Male,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,0,
UASA3,UA144,2,Male,0,0,0,,0,0,0,,0,0,0,,1,1,1,,0,0,0,
UASA3,UA145,2,Unknown,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,
UASA3,UA146,3,Male,0,0,0,,0,0,0,,0,0,0,,1,1,1,,0,0,1,
UASA3,UA147,3,Unknown,0,0,0,,0,0,0,,0,0,0,,1,0,0,Yes,0,0,0,
UASA3,UA148,3,Unknown,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,
UASA3,UA149,3,Female,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,1,
UASA3,UA150,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,1,Yes,0,0,0,
UASA3,UA151,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,1,
UASA3,UA173,3,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,
UASA3,UA174,3,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,1,
UASA3,UA175,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA3,UA176,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,
UASA3,UA177,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,
UASA4,UA036,2,Male,1,1,0,Yes,1,1,1,Yes,1,1,1,Yes,1,0,1,Yes,0,0,0,
UASA4,UA037,2,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA038,2,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA039,1,Female,1,0,0,No,1,1,1,No,1,1,0,No,0,1,1,,0,0,0,
UASA4,UA040,2,Male,1,0,0,No,0,0,1,No,0,0,1,No,0,0,0,,0,0,0,
UASA4,UA041,2,Male,1,0,1,No,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA042,2,Female,1,0,0,No,0,0,0,,1,1,1,No,1,0,1,,0,0,0,
UASA4,UA043,2,Male,1,1,1,Yes,1,1,1,Yes,1,1,1,Yes,1,1,1,Yes,0,0,0,
UASA4,UA044,3,Male,1,1,0,No,1,0,0,No,1,1,1,No,0,0,1,,0,0,1,
UASA4,UA045,2,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA046,2,Female,1,0,0,Yes,0,0,0,,0,1,1,Yes,0,0,1,Yes,0,0,0,
UASA4,UA047,3,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA048,2,Unknown,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA049,2,Unknown,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA050,2,Male,1,1,1,No,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA051,2,Male,0,1,0,No,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA4,UA052,2,Male,0,1,1,Yes,0,0,1,Yes,1,0,1,Yes,1,1,0,Yes,0,0,0,
UASA4,UA053,2,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA054,1,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA055,3,Male,0,0,1,No,0,1,0,No,0,0,0,,0,1,1,,0,0,0,
UASA4,UA057,2,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA058,2,Male,0,0,1,No,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA059,2,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA4,UA072,2,Female,0,0,0,,1,1,0,No,1,0,1,No,1,0,0,,1,0,0,
UASA4,UA073,2,Male,0,0,0,,1,1,0,Yes,0,0,1,Yes,0,0,0,,0,0,1,Yes
UASA4,UA074,2,Unknown,0,0,0,,1,0,0,No,0,1,1,No,0,0,0,,0,0,0,
UASA4,UA075,2,Female,0,0,0,,1,0,0,No,0,0,1,No,0,0,0,,0,0,1,
UASA4,UA076,2,Unknown,0,0,0,,1,0,0,No,0,1,1,No,1,0,0,,0,0,0,
UASA4,UA077,2,Male,0,0,0,,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA078,2,Male,0,0,0,,0,1,0,No,0,0,1,No,0,0,0,,0,0,0,
UASA4,UA079,2,Male,0,0,0,,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA080,2,Male,0,0,0,,0,0,1,Yes,0,0,0,,0,0,0,,0,0,0,
UASA4,UA081,2,Female,0,0,0,,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA083,3,Unknown,0,0,0,,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA4,UA125,3,Female,0,0,0,,0,0,0,,1,0,1,No,0,1,1,,0,0,0,
UASA4,UA126,2,Male,0,0,0,,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA4,UA127,2,Female,0,0,0,,0,0,0,,1,1,1,Yes,0,0,0,,0,0,0,
UASA4,UA128,3,Female,0,0,0,,0,0,0,,1,0,0,Yes,0,0,0,,0,0,0,
UASA4,UA129,2,Unknown,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,0,
UASA4,UA130,3,Unknown,0,0,0,,0,0,0,,0,0,1,No,0,0,0,,0,0,0,
UASA4,UA131,1,Female,0,0,0,,0,0,0,,0,0,1,No,0,0,0,,0,0,0,
UASA4,UA152,2,Unknown,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,
UASA4,UA153,2,Male,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,
UASA4,UA154,2,Unknown,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,
UASA4,UA155,2,Male,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,1,
UASA4,UA156,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,1,0,Yes,0,0,0,
UASA4,UA157,2,Male,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,
UASA4,UA158,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,
UASA4,UA159,2,Male,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,
UASA4,UA160,3,Male,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,
UASA4,UA161,2,Male,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,
UASA4,UA162,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,
UASA4,UA163,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,
UASA4,UA164,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,
UASA4,UA165,3,Male,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,1,
UASA4,UA166,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,1,Yes,0,0,0,
UASA4,UA178,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,
UASA4,UA179,3,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,
UASA4,UA180,1,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,
UASA4,UA181,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA4,UA182,3,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA4,UA183,3,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA4,UA184,2,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA4,UA185,2,Female,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,Yes
